Symbol,Date,Multiplier
LYPSAGEMS,20140929,1.5
LYPSAGEMS,20170712,1.4
M&M,19951220,1.67
M&M,20050901,2
M&M,20100329,2
M&M,20171221,2
M&MFIN,20130215,5
MAANALU,20170710,2
MAARSOFTW,19991122,2
MADHUCON,20051202,5
MADHUCON,20091105,2
MAFATLAIND,20030122,10
MAGMA,20100813,5
MAHSCOOTER,19970915,2
MAHSEAMLES,20060418,2
MAITHANALL,20100617,1.5
MAITHANALL,20150715,2
MALCO,20080717,5
MANALIPETC,20060928,2
MANAPPURAM,20070314,2
MANAPPURAM,20100503,10
MANAPPURAM,20110609,2
MANINDS,20071009,2
MANINFRA,20140828,5
MANPASAND,20170927,2
MANUGRAPH,20051003,5
MARATHON,20060316,5
MARATHON,20071012,3
MARATHON,20100706,1.5
MARATHON,20151221,1.5
MARATHON,20180405,2
MARICO,20020814,2
MARICO,20040506,2
MARICO,20070221,10
MARICO,20151222,2
MARKSANS,20080311,10
MASTEK,19991129,2
MASTEK,20001026,2
MASTEK,20060327,2
MATRIXLABS,20050113,10
MAWANASUG,19980406,1.2
MAYURUNIQ,20120806,2
MAYURUNIQ,20130925,2
MAYURUNIQ,20140328,2
MAZDA,20050818,5
MAZDA,20061113,0.2
MBLINFRA,20150728,2
MCDOWELLN,20180615,5
MEDICAPS,20130319,4
MENONBE,20091008,2
MENONBE,20150409,5
MENONBE,20160830,1.2
MERCATOR,20050124,10
MERCATOR,20060202,2.5
METALFORGE,19950421,2
METALFORGE,20050922,3
METKORE,20111103,5
MFSL,20000508,2
MFSL,20070312,5
MHRIL,20170710,1.5
MIC,20080627,5
MICRO,20001026,2
MICROTECH,20120717,2
MIDEASTI,19950403,1.5
MINDACORP,20120327,2
MINDACORP,20150105,10
MINDAIND,20160912,5
MINDTREE,20140603,2
MINDTREE,20160309,2
MIRCELECTR,20030813,2
MIRCELECTR,20031216,10
MIRZAINT,19970106,2
MIRZAINT,20000228,2
MIRZAINT,20070424,5
MMFL,20050216,2
MMFL,20080926,2
MMFL,20180718,2
MMTC,20100729,20
MMTC,20180503,1.5
MMWL,20010618,3
MMWL,20021115,10
MOHOTAIND,20140206,3
MOHOTAIND,20150316,1.17
MOIL,20170927,2
MOLDTECH,20160217,5
MOLDTKPAC,20160217,2
MONSANTO,20010813,2
MONSANTO,20111005,2
MOREPENLAB,20001107,5
MOSERBAER,20031127,2
MOSERBAER,20070717,1.5
MOTHERSUMI,19971201,1.5
MOTHERSUMI,20001115,1.5
MOTHERSUMI,20021022,2
MOTHERSUMI,20040316,5
MOTHERSUMI,20050224,1.5
MOTHERSUMI,20070830,1.5
MOTHERSUMI,20121003,1.5
MOTHERSUMI,20131220,1.5
MOTHERSUMI,20150723,1.5
MOTHERSUMI,20170705,1.5
MOTILALOFS,20080725,5
MPHASIS,20030702,2
